club,jugador,jugador_normalizado,dorsal,posicion,foto_url
Málaga CF,Izan Merino,izan merino,23,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/1078436-1725885589.jpg
Málaga CF,Carlos Dotor,carlos dotor,8,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/623524-1739477790.jpg
Málaga CF,Ramón Enríquez,ramon enriquez,6,Mediocentro,https://img.a.transfermarkt.technology/portrait/medium/567222-1591178705.jpg
Málaga CF,Pablo Arriaza,pablo arriaza,-,Mediocentro,
Málaga CF,Dani Lorenzo,dani lorenzo,22,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/960562-1725885634.jpg
Málaga CF,Rafa Rodríguez,rafa rodriguez,14,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/1057394-1762764856.jpg
Málaga CF,Aarón Ochoa,aaron ochoa,35,Mediocentro ofensivo,https://img.a.transfermarkt.technology/portrait/medium/1109577-1725885829.jpg
Málaga CF,Juan Cruz,juan cruz,19,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/585700-1667290065.jpg
Málaga CF,Joaquín Muñoz,joaquin munoz,11,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/396334-1710417120.png
Málaga CF,Julen Lobete,julen lobete,24,Extremo izquierdo,https://img.a.transfermarkt.technology/portrait/medium/625654-1633347659.jpg
Málaga CF,David Larrubia,david larrubia,10,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/635939-1725885924.jpg
Málaga CF,Haitam Abaida,haitam abaida,7,Extremo derecho,https://img.a.transfermarkt.technology/portrait/medium/667996-1725886034.jpg
Málaga CF,Chupe,chupe,9,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/780817-1773830581.jpg
Málaga CF,Adrián Niño,adrian nino,21,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/926849-1731933033.jpg
Málaga CF,Eneko Jauregi,eneko jauregi,17,Delantero centro,https://img.a.transfermarkt.technology/portrait/medium/376589-1725617508.jpg
Rayo Vallecano,Augusto Batalla,augusto batalla,13,Portero,https://img.a.transfermarkt.technology/portrait/medium/275218-1775761484.jpg
Rayo Vallecano,Dani Cárdenas,dani cardenas,1,Portero,https://img.a.transfermarkt.technology/portrait/medium/397676-1663571879.jpg
Rayo Vallecano,Marash Kumbulla,marash kumbulla,3,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/371371-1716969202.jpg
Rayo Vallecano,Luiz Felipe,luiz felipe,5,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/457931-1595857216.jpg
Rayo Vallecano,Jozhua Vertrouwd,jozhua vertrouwd,33,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/765467-1691072211.jpg
Rayo Vallecano,Florian Lejeune,florian lejeune,24,Defensa central,https://img.a.transfermarkt.technology/portrait/medium/127108-1496825998.jpg
